"ChallengeX","ChallengeY","Tester Name","Device Name"
"105.0","407.0","Ryan","nexus-06"
"587.0","254.0","Ryan","nexus-06"
"X","Y","PRESSURE"
"102.125","415.90912","0.1296"
"113.17148","412.79022","0.48000002"
"127.43883","407.75195","0.4848"
"169.48157","391.37073","0.48000002"
"189.55612","385.3553","0.47520003"
"206.78528","378.932","0.47040004"
"231.83788","369.23175","0.47040004"
"258.34973","359.17584","0.4656"
"283.281","349.142","0.47040004"
"310.85797","339.81616","0.47040004"
"335.2489","330.95554","0.46080002"
"359.9485","324.59717","0.45600003"
"386.22513","318.5909","0.4656"
"411.09225","312.22885","0.4656"
"436.13815","304.67703","0.4656"
"463.03027","295.9227","0.47040004"
"487.1494","285.85568","0.47040004"
"511.20972","277.37277","0.4656"
"534.687","270.87314","0.47040004"
"551.5867","266.24432","0.47040004"
"560.9726","263.5742","0.48000002"
"568.1257","261.0402","0.4848"
"574.4465","258.7662","0.48000002"
"581.534","257.11023","0.48960003"
"587.8052","257.12122","0.48960003"
