"ChallengeX","ChallengeY","Tester Name","Device Name"
"596.0","147.0","Jake","nexus-09"
"248.0","756.0","Jake","nexus-09"
"X","Y","PRESSURE"
"629.625","107.63638","0.0864"
"625.17206","110.72067","0.2736"
"615.3857","120.77109","0.28800002"
"596.3393","144.9632","0.32160002"
"567.32434","182.72159","0.3312"
"547.6928","210.66727","0.3456"
"520.15826","253.63885","0.34080002"
"495.3269","292.72043","0.34080002"
"480.5625","314.60608","0.35040003"
"445.4055","378.51752","0.35520002"
"416.52402","432.3188","0.35040003"
"391.76746","474.19238","0.3456"
"380.19998","500.0182","0.3456"
"355.03412","545.0248","0.3456"
"340.65656","572.6185","0.34080002"
"321.3142","607.92523","0.34080002"
"300.34634","649.75586","0.33600003"
"289.54715","671.1266","0.3312"
"275.97226","696.5301","0.3264"
"263.09537","722.024","0.32160002"
"250.65527","744.62415","0.31680003"
"242.52768","757.479","0.312"
"236.7106","766.01715","0.3072"
"234.9375","769.1516","0.30240002"
"231.34583","773.78516","0.28800002"
