"ChallengeX","ChallengeY","Tester Name","Device Name"
"126.0","703.0","Jake","nexus-09"
"347.0","809.0","Jake","nexus-09"
"413.0","272.0","Jake","nexus-09"
"616.0","849.0","Jake","nexus-09"
"X","Y","PRESSURE"
"117.75","678.3334","0.1536"
"127.91516","678.3334","0.63360006"
"140.12434","681.5251","0.65760005"
"161.1424","691.4586","0.68160003"
"199.6851","715.67633","0.67200005"
"223.375","735.00006","0.68640006"
"231.22234","741.286","0.68160003"
"244.9144","753.7655","0.6768"
"253.86441","762.4443","0.7056"
"256.5","765.0","0.71040004"
"258.15283","766.6028","0.71040004"
"275.69678","740.46265","0.69600004"
"300.47293","699.7156","0.71040004"
"313.94797","669.7382","0.69600004"
"332.81967","626.89844","0.7152"
"347.86044","575.6234","0.7152"
"361.6107","525.7226","0.7056"
"373.42825","478.95978","0.7152"
"383.3395","433.6225","0.71040004"
"388.29688","405.65155","0.7152"
"393.51178","375.79034","0.73440003"
"399.65363","331.66507","0.71040004"
"402.9723","308.0209","0.7152"
"405.74973","294.9413","0.7152"
"410.60486","281.54343","0.70080006"
"413.28326","272.0225","0.68160003"
"415.5625","269.54547","0.69600004"
"418.203","265.85626","0.72"
"425.04382","277.32742","0.72480005"
"449.77475","345.23007","0.72480005"
"479.76517","426.7328","0.69600004"
"501.8067","492.70947","0.648"
"519.5988","554.03217","0.6144"
"536.0361","609.9113","0.63360006"
"546.00134","658.90924","0.624"
"557.1453","710.5531","0.62880003"
"570.52875","758.2025","0.62880003"
"581.89703","803.9505","0.63360006"
"586.42944","823.33496","0.528"
"589.06274","833.789","0.3072"
"593.375","848.03033","0.23520002"
