"ChallengeX","ChallengeY","Tester Name","Device Name"
"266.0","213.0","Ryan","nexus-09"
"636.0","200.0","Ryan","nexus-09"
"405.0","523.0","Ryan","nexus-09"
"171.0","474.0","Ryan","nexus-09"
"X","Y","PRESSURE"
"275.875","195.90909","0.110400006"
"283.3465","199.71469","0.38880002"
"306.74603","200.79138","0.4176"
"335.77542","199.64243","0.42720002"
"374.84558","197.58621","0.43680003"
"424.23413","196.27585","0.44160002"
"456.4436","193.97647","0.44640002"
"505.45056","189.8338","0.45600003"
"554.7684","186.9035","0.4512"
"586.9073","184.7847","0.44640002"
"632.3091","182.24966","0.44160002"
"658.0382","183.59402","0.4176"
"672.6523","184.47375","0.4176"
"684.74054","186.10233","0.42720002"
"691.1564","188.26068","0.4512"
"695.38306","190.44171","0.47040004"
"698.384","192.10452","0.5088"
"697.78204","194.16858","0.5472"
"694.62317","197.72943","0.49920002"
"673.94","220.68433","0.49920002"
"655.51715","239.05148","0.49440002"
"643.43463","255.21634","0.51360005"
"624.23083","276.6899","0.47520003"
"605.9881","299.9939","0.4656"
"584.8819","326.71185","0.48000002"
"554.44836","364.66565","0.47520003"
"535.248","393.30957","0.42720002"
"509.14197","436.6446","0.4128"
"489.83456","463.12256","0.40800002"
"475.7175","486.83472","0.4176"
"461.16287","507.7334","0.43680003"
"451.0998","522.5246","0.44640002"
"443.81204","532.3745","0.47520003"
"435.90393","538.31335","0.48000002"
"427.47202","543.24927","0.4848"
"421.05933","545.6558","0.5088"
"415.52603","547.802","0.5568"
"409.33337","546.77106","0.5568"
"402.10928","545.0844","0.55200005"
"388.98538","540.6765","0.55200005"
"354.61563","527.9974","0.52320004"
"315.6842","512.0461","0.52320004"
"299.87363","504.2237","0.5088"
"273.43375","494.74316","0.504"
"264.3125","491.66675","0.51360005"
"249.82913","488.5904","0.528"
"226.55093","481.66632","0.504"
"216.27788","478.5315","0.49440002"
"212.35019","476.97583","0.4848"
"208.24828","475.37512","0.4128"
