"ChallengeX","ChallengeY","Tester Name","Device Name"
"150.0","704.0","Sean","nexus-09"
"488.0","370.0","Sean","nexus-09"
"177.0","792.0","Sean","nexus-09"
"278.0","728.0","Sean","nexus-09"
"X","Y","PRESSURE"
"143.375","697.1212","0.10080001"
"153.01376","693.05396","0.49920002"
"168.35507","685.6158","0.5328"
"185.5625","676.81824","0.53760004"
"191.61028","671.7849","0.5472"
"215.61731","654.9889","0.55200005"
"240.06116","634.6514","0.5856"
"275.21725","601.64404","0.5856"
"296.76944","578.65063","0.59040004"
"334.8276","543.45044","0.5952"
"349.9375","529.24243","0.60480005"
"374.09076","505.31854","0.61920005"
"419.9234","461.94073","0.624"
"445.6644","437.44836","0.62880003"
"457.6143","426.93665","0.6384"
"467.68475","417.64886","0.6384"
"475.46088","410.85614","0.63360006"
"479.0","407.42426","0.63360006"
"483.38223","403.1748","0.62880003"
"479.5418","410.06366","0.6144"
"469.60828","424.7213","0.60480005"
"454.77582","450.27783","0.6"
"437.78003","475.56244","0.6"
"413.71515","508.4666","0.5856"
"383.374","551.2019","0.5616"
"363.3273","577.9681","0.55200005"
"333.5328","615.72546","0.55200005"
"302.05704","653.35767","0.5472"
"262.49258","699.71124","0.5424"
"244.7272","720.3431","0.5472"
"228.86105","738.513","0.5424"
"218.67065","751.1568","0.5424"
"212.4139","759.37396","0.5424"
"208.0625","763.48486","0.5424"
"204.2413","768.6819","0.5472"
"201.11179","773.0422","0.5568"
"202.125","774.89343","0.5616"
"205.98247","774.07355","0.5616"
"215.95964","770.3622","0.5616"
"233.88986","763.0273","0.5616"
"248.53","757.0081","0.5616"
"257.02118","752.3849","0.5616"
"266.5231","748.01917","0.5616"
"273.16138","745.27106","0.5568"
"279.8418","743.11176","0.56640005"
"285.69345","740.9492","0.57600003"
"291.25473","738.7921","0.55200005"
"296.5","735.3031","0.48960003"
