ChallengeX,ChallengeY,Tester Name,Device Name
335,688,Nick Montelibano Day 1,nexus-20
647,813,Nick Montelibano Day 1,nexus-20
604,604,Nick Montelibano Day 1,nexus-20
634,306,Nick Montelibano Day 1,nexus-20
X,Y,PRESSURE,
316.2143,682.5714,0.1296,
328.04636,693.662,0.42240003,
339.34824,700.4049,0.42720002,
358.46732,712.50836,0.47040004,
383.55878,725.0043,0.45600003,
397.55997,731.9031,0.44160002,
427.5699,746.26385,0.40320003,
464.44595,762.3713,0.4176,
490.09686,775.03503,0.42720002,
515.9879,786.3381,0.40800002,
539.0556,796.82104,0.38880002,
560.143,805.75073,0.36960003,
575.58936,812.4287,0.384,
592.3112,818.0653,0.40320003,
616.055,824.44617,0.42720002,
630.56036,828.8231,0.4512,
640.2505,831.12024,0.49440002,
647.90106,833.2826,0.5184,
652.2312,835.43335,0.53760004,
655.5,836,0.53760004,
656.4856,836,0.51360005,
658.1786,834.5773,0.4656,
658.1786,831.2566,0.432,
656.6273,826.38965,0.44160002,
653.2138,818.5132,0.47040004,
646.9284,805.08545,0.45600003,
640.1543,788.71484,0.4512,
635.5504,781.0561,0.4656,
626.188,760.92224,0.48000002,
616.2554,740.6635,0.45600003,
607.9246,725.6448,0.4512,
601.2861,712.7437,0.48000002,
595.9284,702.02814,0.4848,
591.4132,694.4293,0.4848,
588.8643,690.7589,0.48000002,
585.7847,684.93445,0.4656,
583.59717,679.0895,0.46080002,
581.447,674.104,0.4656,
579.2367,669.86017,0.4656,
577.8214,665.80994,0.47520003,
576.9286,661.8707,0.48960003,
576.9286,657.71423,0.48960003,
576.1063,655.27844,0.48960003,
576.0357,650.6401,0.49440002,
576.0357,644.2438,0.49920002,
576.0357,636.3549,0.48000002,
577.7215,622.4815,0.47040004,
580.2194,603.616,0.49920002,
585.48456,576.97845,0.4848,
587.6852,563.14386,0.504,
596.0796,522.20337,0.52320004,
606.1549,467.25586,0.504,
615.71674,413.96198,0.5472,
624.42676,361.83868,0.53760004,
634.50604,313.7906,0.5328,
645.6543,276.35565,0.5328,
653.2678,258.28574,0.49920002,
664.4286,237.7143,0.39360002,
