"ChallengeX","ChallengeY","Tester Name","Device Name"
"287.0","592.0","Ryan Scheel","nexus-03"
"274.0","724.0","Ryan Scheel","nexus-03"
"356.0","105.0","Ryan Scheel","nexus-03"
"454.0","391.0","Ryan Scheel","nexus-03"
"X","Y","PRESSURE"
"460.85715","412.5714","0.13440001"
"449.25","398.0","0.40320003"
"445.6467","390.22455","0.44160002"
"433.8327","367.49585","0.45600003"
"421.78372","342.69336","0.47040004"
"414.11865","325.49237","0.5328"
"405.08014","300.79077","0.5616"
"395.4392","274.5824","0.58080006"
"389.4286","258.7143","0.56640005"
"382.2857","238.57144","0.56640005"
"367.7756","212.69446","0.60480005"
"359.12274","198.36783","0.6144"
"354.36215","189.79007","0.62880003"
"349.86838","184.04446","0.6384"
"347.4905","181.16803","0.63360006"
"345.97647","181.14285","0.6384"
"344.00113","182.64926","0.64320004"
"341.11728","189.04337","0.61920005"
"338.33298","200.31049","0.6144"
"334.23337","218.07983","0.59040004"
"330.31873","247.3299","0.5712"
"327.25177","279.25668","0.51360005"
"325.31055","296.47852","0.5184"
"321.80203","329.37177","0.504"
"315.42395","372.50305","0.49920002"
"310.03754","402.0044","0.48960003"
"302.802","430.93805","0.48960003"
"296.46594","460.11932","0.49440002"
"291.0339","487.83545","0.4848"
"288.5521","500.7627","0.48000002"
"281.6331","536.8744","0.4848"
"272.9449","574.44025","0.47040004"
"267.70123","597.52856","0.43680003"
"260.45004","627.69354","0.4176"
"254.86505","657.08594","0.38880002"
"250.14285","684.28577","0.36960003"
"247.80475","692.2435","0.3648"
"242.50497","718.3139","0.32160002"
"237.24155","735.15576","0.3072"
"235.02878","743.24286","0.3072"
"232.6146","748.7971","0.312"
"230.20563","750.2857","0.3456"
"228.26788","749.0","0.4176"
"226.72372","743.9631","0.46080002"
"224.31824","709.7269","0.51360005"
"224.25","672.88403","0.528"
"224.25","650.70575","0.5184"
"225.14285","638.8572","0.39360002"
