"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"348.35715","673.1429","0.216"
"349.26215","682.69977","0.4656"
"352.00977","685.2208","0.44160002"
"355.22467","688.30707","0.43680003"
"357.49023","690.48206","0.432"
"361.25125","694.09265","0.43680003"
"366.9297","697.7264","0.44640002"
"378.4931","704.71564","0.44640002"
"398.79294","716.3615","0.44640002"
"413.85315","724.62317","0.44160002"
"432.47604","735.9698","0.40320003"
"453.75397","746.44763","0.36960003"
"469.33926","753.28577","0.3792"
"483.91235","758.7961","0.384"
"515.3171","768.8558","0.42240003"
"540.0571","776.7726","0.4512"
"564.66","784.6455","0.43680003"
"589.8593","791.9605","0.44640002"
"607.31714","797.00757","0.4176"
"623.6332","803.05237","0.40320003"
"631.15814","806.1483","0.40800002"
"645.4418","810.833","0.4176"
"656.39984","813.9303","0.4128"
"665.2012","816.0426","0.4176"
"671.98364","818.13196","0.4176"
"677.8569","820.1599","0.42720002"
"681.36456","820.5714","0.42720002"
"682.7322","820.5714","0.42720002"
"684.566","820.5714","0.42240003"
"685.8571","818.83484","0.4176"
"686.75","816.79297","0.43680003"
"686.75","812.8207","0.45600003"
"685.4309","805.22034","0.42720002"
"682.35846","795.88904","0.3984"
"680.17175","785.56714","0.38880002"
"676.86597","778.3311","0.40320003"
"668.57153","757.60254","0.38880002"
"657.7627","734.9354","0.36"
"651.3473","715.96545","0.384"
"643.64526","699.7395","0.37440002"
"639.67786","686.5787","0.3456"
"635.6511","673.67065","0.3312"
"634.2904","665.83276","0.36"
"630.4715","650.7478","0.37440002"
"623.7782","634.02124","0.36"
"621.4862","624.8157","0.34080002"
"619.2894","617.7137","0.34080002"
"618.8928","611.14746","0.35520002"
"617.1071","606.1833","0.39360002"
"617.1071","601.5715","0.4128"
"616.2143","596.83154","0.42720002"
"616.2143","586.8246","0.3984"
"616.2143","577.9577","0.33600003"
"617.5887","567.97437","0.3456"
"619.62994","556.23755","0.28800002"
"623.99335","532.9462","0.3456"
"625.9314","519.3577","0.2976"
"626.0357","514.4236","0.31680003"
"630.82294","490.22943","0.3456"
"633.286","466.7068","0.3264"
"633.69116","452.71405","0.35040003"
"637.9884","427.5301","0.3648"
"643.20905","407.1546","0.3456"
"645.7028","392.67102","0.384"
"648.3572","377.42853","0.38880002"
"649.80505","363.94568","0.3648"
"653.9183","348.62927","0.3648"
"656.1312","336.68427","0.39360002"
"657.44525","327.95868","0.4176"
"658.1786","320.0722","0.40800002"
"657.9257","314.98602","0.2976"
"656.83923","311.85718","0.23040001"
