"ChallengeX","ChallengeY","Tester Name","Device Name"
"335.0","688.0","tim","nexus7"
"647.0","813.0","tim","nexus7"
"604.0","604.0","tim","nexus7"
"634.0","306.0","tim","nexus7"
"X","Y","PRESSURE"
"350.14285","686.8572","0.1536"
"364.45825","697.1571","0.40320003"
"371.95523","700.5474","0.40320003"
"382.68555","705.1082","0.40320003"
"390.3214","707.8571","0.4128"
"403.37192","713.2792","0.42720002"
"436.98975","726.47284","0.42240003"
"460.7485","734.5367","0.40800002"
"485.51984","742.4537","0.3792"
"511.13867","750.83044","0.3648"
"537.949","759.50946","0.384"
"554.6432","765.513","0.384"
"567.7852","770.1588","0.3984"
"583.5055","777.8712","0.42720002"
"600.3915","785.7432","0.42720002"
"610.949","791.121","0.40800002"
"621.1316","795.8883","0.39360002"
"626.9047","799.9772","0.37440002"
"631.1609","803.20593","0.37440002"
"636.2979","806.4231","0.37440002"
"638.3811","807.21155","0.3792"
"642.5633","809.219","0.3792"
"645.9209","811.37537","0.384"
"648.00085","812.8572","0.384"
"650.2257","812.8572","0.384"
"652.2837","812.8572","0.384"
"654.34064","812.8572","0.384"
"655.9464","812.8572","0.384"
"656.3928","811.6792","0.384"
"655.94904","803.4436","0.312"
"653.7143","783.9024","0.3264"
"649.98676","758.6234","0.3312"
"644.86194","736.5452","0.33600003"
"638.24677","714.4556","0.3648"
"633.2373","692.2255","0.35040003"
"628.7916","677.0909","0.35040003"
"623.735","655.5718","0.36"
"616.93207","635.269","0.3312"
"614.36176","624.8863","0.3072"
"612.3289","618.23883","0.30240002"
"610.15076","611.9656","0.312"
"608.1218","607.89105","0.3312"
"605.9714","603.76227","0.3456"
"605.5","601.67413","0.3456"
"604.6071","598.49347","0.35520002"
"603.7143","596.47595","0.36"
"603.7143","594.3429","0.36960003"
"603.7143","592.2687","0.3648"
"603.7143","590.21735","0.35040003"
"603.7143","587.2054","0.35520002"
"603.7143","584.5513","0.35520002"
"604.2932","579.76117","0.35520002"
"610.0196","569.32245","0.3312"
"615.2857","553.7944","0.3456"
"623.7192","528.22766","0.33600003"
"631.4411","499.31677","0.35040003"
"640.95636","463.27606","0.32160002"
"646.32434","437.3744","0.33600003"
"651.1334","417.3202","0.3264"
"657.4756","382.1524","0.33600003"
"659.89636","352.43158","0.32160002"
"659.9643","334.00397","0.3456"
"658.82336","311.2387","0.3456"
"659.0714","300.39258","0.3312"
"658.1786","292.1438","0.3312"
"658.1786","287.0","0.312"
"657.1088","283.4906","0.2592"
